real,imag
6,0
2,0
2,0
-4,0
438,0
-17505,17504
0,35450
17941,17941
-2,8
-2,0
1,1
-1,-3
-2,-8
-1,2
-2,1
-3,-1
-1,6
-2,-3
0,-2
0,-3
5,1
1,3
4,-6
3,-6
4,-1
-3,-1
-4,-5
-6,2
-1,-7
2,3
0,-3
-3,0
3,-4
-2,2
0,3
-4,2
1,-19
10,-22
1,-21
-7,-20
-5,2
-3,-5
-4,-5
-1,0
-1,-4
5,-10
-3,1
-4,2
0,3
9,-5
2,0
2,-4
-5,-3
5,2
3,-5
-1,-1
1,19
22,-10
-1,-22
-21,-6
3,4
-3,2
0,3
2,-4
2,-1
4,3
4,1
-8,-1
-218,17744
-193,17727
-217,17707
-232,17716
-6,5
3,4
3,2
-4,0
2,-5
4,0
7,-1
-4,-6
-1,6
4,-3
1,4
4,-2
3,3
1,-2
3,-6
3,-6
-4,5
2,-1
-4,-5
-9,-6
-4,2
1,-1
4,1
1,-1
-3,-2
0,-1
-5,1
0,0
-4,-5
1,-3
4,-5
-5,-9
3,-3
2,-1
-3,-6
-6,3
-1,-6
3,-4
-2,3
-2,4
1,4
0,-5
-6,0
-6,-4
-6,-5
-4,-3
-4,2
0,-4
-219,-17745
-17728,191
216,17706
17717,-232
3,1
-3,-5
-4,1
-2,-8
1,-5
-2,-8
-1,-3
2,-6
-2,-35164
44,-35203
7,-35263
-45,-35206
-5,-4
0,-6
-2,-7
-5,-4
1,-1
-4,1
6,7
7,2
3,0
-3,-2
3,-10
-1,3
-4,-5
4,-5
4,10
-2,-1
7,-6
3,-7
1,-9
-6,-7
-4,13
-12,-3
2,-2
5,3
-5,1
-3,-3
2,-8
-8,-2
-5,4
6,-21
3,-11
-4,-14
3,-1
0,7
-4,-11
-5,6
0,7
-1,-5
2,-2
-2,-3
3,1
0,-1
-4,-3
-2,3
-1,5
-1,-6
-1,2
4,-4
2,16
49,2
-3,-63
-51,11
3,-1
-1,-1
2,-3
5,-1
2,0
0,0
-2,-2
-1,5
2,-16
-3,-49
2,-62
11,-51
-2,-5
6,0
0,1
-4,3
4,-2
0,-1
4,-4
3,-2
0,-7
4,1
-3,-2
-2,-2
3,0
-7,-1
3,-11
7,-5
-5,-5
22,-6
-4,-10
-14,-4
-6,-1
3,3
-3,-8
-3,-9
-4,-14
2,10
-2,-1
2,5
7,6
6,-3
-1,-10
-6,-6
-4,4
4,-3
-5,10
-1,-2
4,0
2,3
-4,-10
3,-2
0,0
-1,3
-7,7
2,6
-5,5
5,-1
1,-7
-5,-5
-1,35164
35204,-43
-8,-35262
-35207,-43
2,5
9,2
1,-5
-7,3
